sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
40tFJtuES1da2fg0OurUdI	Jarabe De Palo	Eso Que Tú Me Das	ES96A2000115	64	latin,latin alternative,latin pop,latin rock,rock en espanol,spanish pop,spanish rock	0.144	0.778	9.5e-05	0.0286	130.004	0.836	0.804
0cOa970mzTWAxKtltpkpLc	TINI,Maria Becerra	Miénteme	USHR12141512	83	latin pop,pop argentino	0.161	0.85	5.01e-06	0.0674	92.003	0.916	0.541
53w7xjn8fwwU8Pc6rgMm5v	MARLENA	Me Sabe Mal	ES05I2100040	66	spanish pop	0.11	0.604	0.0	0.0378	99.313	0.556	0.569
4sJtmGdpGZKr8XMfiyJj3E	Tu Otra Bonita	Alegría de Vivir	ES5152100556	60	flamenco fusion	0.552	0.76	4.32e-06	0.0579	132.096	0.7	0.527
3nfICwo20uiFdEGzgNUSrG	Aitana,Nicki Nicole	Formentera	ES5702102102	78	latin pop,latin talent show,spanish pop	0.0903	0.781	1.58e-06	0.0399	128.007	0.803	0.645
6Qi1MNFHCLo4bVsV14MOmz	Nil Moliner	Libertad	ES5152100262	63	spanish pop	0.0648	0.605	0.0	0.0303	132.081	0.686	0.703
5H1LLTRLRw59GZh6Xd5lGe	Belén Aguilera	CAMALEÓN	ES71G2147985	52	latin viral pop,spanish pop	0.0215	0.936	1.22e-05	0.107	129.956	0.654	0.497
1lMuQJHBznRfq7GdQrIQN4	Ana Mena	Música Ligera	ITB002101219	71	latin pop,spanish pop	0.0891	0.695	0.0	0.0281	120.031	0.633	0.752
5iF33sXejXwfTuidVHMll0	Carlos Vives,Ricky Martin	Canción Bonita	USSD12100149	73	champeta,colombian pop,latin,latin pop,tropical,vallenato	0.0452	0.788	0.0	0.0562	91.945	0.785	0.771
23E53f3C9SJ9MqBh1f6hEw	Álvaro De Luna	Juramento eterno de sal	ES5152001096	67	spanish pop	0.0225	0.631	1.91e-06	0.0581	129.991	0.716	0.594
5KGgrDNF3C5vXwgSPaYASE	Marc Seguí	360	ES5152100947	66	spanish pop	0.28	0.806	0.0	0.0403	119.926	0.413	0.602
0Be7sopyKMv8Y8npsUkax2	Sebastian Yatra	Tacones Rojos	USUM72119612	84	colombian pop,latin,reggaeton colombiano	0.0824	0.748	0.0	0.0348	123.031	0.927	0.856
5TMLavqGRKNxgzMBrVpC9R	zzoilo,Aitana	Mon Amour - Remix	ES5702101693	86		0.122	0.748	6.56e-06	0.102	116.041	0.362	0.761
0khVEzctbwmqLvOpg1ecbg	Rigoberta Bandini	Ay Mamá	QMFMF2131022	69	spanish synthpop	0.133	0.687	7.45e-06	0.0364	126.995	0.32	0.56
4OwhwvKESFtuu06dTgct7i	Marc Seguí,Rauw Alejandro,Pol Granch	Tiroteo - Remix	USWL12100143	83	spanish pop	0.282	0.75	0.0	0.0293	110.427	0.601	0.522
