sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
769Ld8demNhMgVLAQcjTDn	anees	sun and moon	QZES62213047	79		0.457	0.815	0.0	0.107	90.019	0.706	0.442
2eAvDnpXP5W0cVtiI0PUxV	Ruth B.	Dandelions	USSM11703468	88	alt z,canadian contemporary r&b,canadian pop,pop	0.0157	0.609	0.0	0.0259	116.959	0.454	0.692
4sYbZjRCyaFqCtJ2Uvfh8B	Dominic Fike	Chicken Tenders	USQX92001220	64	alternative pop rock,pop	0.268	0.746	0.0	0.0567	119.983	0.72	0.741
5wxLJCLMUhyi7iTOCyuQrl	Tai Verdes	Let's go to Hell	USAR12100194	51	modern indie pop	0.129	0.789	0.0	0.034	127.953	0.921	0.807
6tqIes4TjudsjfIpK4P2Jh	Kota the Friend,Hello O'shay,Alex Banin	Long Beach	QZES82020385	63	hip hop,rap,underground hip hop	0.0685	0.809	0.0	0.175	104.991	0.562	0.613
4h4QlmocP3IuwYEj2j14p8	Nicky Youre,dazy	Sunroof	USQX92202129	71		0.352	0.768	0.0	0.0401	131.443	0.842	0.714
748mdHapucXQri7IAO8yFK	Doja Cat,SZA	Kiss Me More (feat. SZA)	USRC12100543	83	dance pop,pop	0.235	0.762	0.000158	0.0286	110.968	0.742	0.701
23TPP1eeElFfvYVznskwCY	BENEE	Glitter	USUM71911687	66	alt z,nz pop,pop	0.0863	0.801	0.0	0.0485	116.934	0.58	0.589
0zePbRMJ9sd7wsZRlbPQua	Dayglow	Hot Rod	TCADU1861897	75	austindie,indie pop,modern rock	0.0279	0.707	0.000295	0.0323	139.985	0.832	0.767
4o0LyB69tylqDG6eTGhmig	Cannons	Fire for You	USSM12004811	71	vapor soul	0.114	0.737	0.157	0.0962	102.051	0.698	0.678
42QzWxuokSGPklrsoI2Bxl	Clubhouse	Weekend	QZ93L2017305	51	columbus ohio indie	0.0883	0.923	0.00194	0.0442	98.962	0.581	0.439
7yHqOZfsXYlicyoMt62yC6	Surfaces	Heaven Falls / Fall on Me	TCADU1803440	64	bedroom soul,pop	0.36	0.563	0.00243	0.121	85.352	0.768	0.366
4nLTOnpSCBwRlul92HLIyW	COIN	Cutie	QZJ842001416	59	indie pop,modern rock,pop,pop rock	0.000928	0.682	0.000201	0.139	111.991	0.723	0.609
1tNJrcVe6gwLEiZCtprs1u	Dominic Fike	3 Nights	USQX91802455	77	alternative pop rock,pop	0.223	0.815	0.0	0.0897	151.891	0.877	0.518
3NRql0A1Ef4RCvT473iqgD	Bakar	Hell N Back	GBARL1900848	72	uk alternative hip hop	0.312	0.584	9.05e-05	0.567	210.164	0.72	0.684
2d3QlXE6FXFDeodiS66yjM	Goth Babe	Weekend Friend	TCAEB1915747	65	modern rock	0.032	0.409	0.0391	0.031	110.187	0.212	0.594
3hARuUtzTdUuWH1KiLJlSf	Still Woozy	Window	USUG12001158	63	bedroom pop,modern rock,oakland indie	0.436	0.714	2.3e-05	0.195	91.025	0.67	0.483
0T7aTl1t15HKHfwep4nANV	Remi Wolf	Disco Man	USUG12001075	63	modern alternative pop	0.0443	0.686	0.0131	0.0459	84.985	0.854	0.682
0A3XWuyL1B7kqPHyDXHGkN	Cautious Clay,Remi Wolf,sophie meiers,Still Woozy,Claud,Melanie Faye,HXNS	Cheesin'	USUG12001416	56	alternative r&b,indie r&b,nyc pop	0.202	0.817	0.0	0.043	120.111	0.967	0.623
7kQkmyoHCEqwe7QwDbkSXM	FINNEAS	Let's Fall in Love for the Night	GBKPL1825156	70	alt z,electropop,la indie,pop	0.802	0.737	0.0	0.104	127.921	0.374	0.408
5CGDrFkXmbdetIgUt77V9g	Kid Cudi	Up Up & Away	USUM70981911	55	hip hop,ohio hip hop,rap	0.0698	0.661	3.19e-05	0.0887	119.972	0.58	0.881
5PmtPTXrLqgqQfqngsUqZp	sammy rash	summer&cigarettes	QZES52137849	64	gen z singer-songwriter,sad rap	0.76	0.834	0.0	0.072	122.008	0.684	0.402
7eVWhE0CIjWurhUWx70UZK	Kishi Bashi	Violin Tsunami	USJZA1930109	38	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.897	0.317	0.0697	0.03	75.031	0.119	0.38
3HWSc9I6C79uqsZ82TK1CF	Kishi Bashi	Summer of '42	USJZA1930106	34	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.818	0.392	0.762	0.0321	154.023	0.272	0.546
6xgUCVPWB9fZE2wPCfPAX7	Kishi Bashi	Say Yeah	USJZA1619703	33	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.393	0.703	0.0123	0.0314	109.61	0.72	0.562
4OP0Wb8yB9na6c4GtDT6ej	Kishi Bashi	Bright Whites	USJZA1200008	42	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.0351	0.558	0.0	0.041	108.194	0.588	0.856
5e7WAXkCsLSjjlWn9X9ALA	Kishi Bashi	Those Days Are Gone	USJZA2036505	23	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.651	0.5	0.0178	0.0372	109.501	0.61	0.449
2DD9LNVKrcw1wt7m2dG4pS	Kishi Bashi	Penny Rabbit and Summer Bear	USJZA1930101	41	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.596	0.437	0.00413	0.0283	110.266	0.314	0.563
4cNjH6thOGlGgFc2KOrHPz	Yellow Ostrich	Zebra	USBS52020038	39	shimmer pop,stomp and holler	0.864	0.452	0.045	0.0346	119.963	0.195	0.365
3t3JZ7kpfU16qom0jjOzD4	Kishi Bashi	Manchester - Demo-arigato Version	USJZA2239202	32	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.965	0.698	0.187	0.0489	144.902	0.621	0.351
4gpMus4FbcUiN5ebHg1E7r	Kishi Bashi	Bittersweet Genesis for Him AND Her	USJZA1516602	26	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.627	0.498	3.64e-05	0.0767	149.588	0.44	0.317
4TKlCLUfP5loEGrihCENwt	Kishi Bashi	m'Lover	USJZA1619701	42	chamber pop,indie pop,metropopolis,shimmer pop,stomp and holler,stomp and whittle	0.607	0.487	0.000101	0.0776	190.105	0.698	0.833
