sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1TX4h6MrIZ0K3r4OOG11WO	Djavan	Flor de Lis	BRSGL7600021	60	bossa nova,mpb,musica alagoana	0.223	0.549	0.0	0.0493	85.793	0.781	0.502
3R1P0crzL8SK2ny1ZoHQrK	Mestrinho	Te Faço um Cafuné	BR75X1700004	48	jazz accordion,musica sergipana,sanfona	0.267	0.517	0.0	0.0329	134.674	0.5	0.497
3JVJaqZ6qZajZaMi66za1b	Criolo	Lá Vem Você	US7VG1753411	49	afrobeat brasileiro,brazilian hip hop,brazilian rock,latin afrobeat,manguebeat	0.682	0.785	0.000387	0.0657	81.984	0.961	0.599
7f31hpuzCNIU0rX5E6Dr3g	Elis Regina,Adoniran Barbosa	Tiro Ao Álvaro	BREMI8000039	57	bossa nova,brazilian jazz,mpb,samba	0.39	0.609	0.0	0.111	94.132	0.955	0.528
6U03Orwr5Dxt8jahLnQpYV	Jorge Ben Jor	Mas, Que Nada!	BRMCA6300083	58	bossa nova,manguebeat,mpb,samba,samba-rock,tropicalia	0.662	0.512	0.000199	0.03	89.499	0.589	0.511
3TYr1sQKBG7BIdvl62kEI4	Martinho Da Vila	Casa de Bamba	BRSME1200202	50	bossa nova,mpb,pagode,samba,umbanda,velha guarda	0.238	0.818	0.0	0.0975	89.963	0.91	0.712
2MpDhDdhNOaGtCqb9hSGZN	Waldir Azevedo	Brasileirinho	BRWMB9802398	26	baiao,choro,samba,velha guarda	0.256	0.475	0.883	0.047	138.625	0.962	0.964
1DAebq3ehg8iPQP9IAdETB	Ismael Silva	Se Você Jurar/Para Me Livrar Do Mal	BRBMG7300135	33	choro,samba,velha guarda	0.357	0.532	0.0	0.146	100.59	0.872	0.706
2Yai0KEGLVv8xoCCdJRizC	Zé Keti	Diz Que Fui por Aí	FR6V82245561	44	bossa nova,mpb,pagode,samba,velha guarda	0.383	0.427	0.0	0.123	200.0	0.867	0.528
6NRO8PKrS2BPgNfeSedpxe	Jair Rodrigues	A Voz do Morro	BRMVP0300319	48	bossa nova,mpb,pagode,pop nacional antigas,samba,velha guarda	0.572	0.484	0.0	0.0691	125.386	0.934	0.734
