listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-02-23T20:28:30	Spaces	Tesk	FR9Z62100225	5PDwyf929nnkD4vaW1HksZ	7ntBtETW7gkufH8Hw38gb4
2022-02-23T20:26:41	Futurity	Jr. Wellness	QMDA72130815	2voi5SsUV2ATuwEjc32jzn	7oc0u9Q0BkLat7c10fuHoF
2022-02-23T20:25:03	zero to none	Codename Chinadoll	SE6RB2071503	0wb7JvyyHS34Hy7o6NQDBA	1M7I2GYBClRIiT9B72xUTg
2022-02-23T20:23:56	Windmills	KaspaHauser, Matthias Bublath	DEZC62115424	2f4mTu5Y6I3wVApqhy5wbV	2zIhBOpUm3gKL6MOcuc657,3us680mKjIt756UpyYnqbV
2022-02-23T20:22:07	Early morning	Blooky Jeeky	TCJPQ2295474	0Mv2v7MG7fbxpKxWh0VHyA	0vUFizCD32zqgWG2BYHYVn
2022-02-23T20:20:38	Spaceships And Beat Machines	fat jon	QM4TW2229844	1NsWqbEOY5zNq4Ewx9zPXe	5Fmr3KeGe2IAVFmMxUq1sD
2022-02-23T20:15:52	Kala	Elffire	CH6542201022	606574gUCb8dswUBVgefzh	5r0Dqr2o43QLl81B4m9XvA
2022-02-23T20:14:19	Wie ein Stein	Twit One	DEQ022116360	7nhnrb8OjaJACxPRv8eLYc	38OPqGlHHCPAsL87VM10Su
2022-02-23T20:12:37	Monro Beach	Oslo	DEZC62137623	1i1uXh6JNzYxgmKKZRKgMA	7ifB9W0rZFGLiYcisBM9fC
2022-02-23T20:10:42	Mind	Miyuki Kuzuoka, Lofi Brasil	BXNKB2100001	4KcK0seW2hpoV7hKLxRykC	4QP6hpplFH8kQZ0AKo0c1Z,6n23H3ngSwihsDpjBaAANQ
2022-02-23T20:09:07	City Walks	Depf	DEQ022112188	7f0kjCwkamKO8UOKtxVM2U	225saUhtIHdeXvHEpiGI6r
2022-02-23T20:08:17	Espresso Dreams	cakofonik	SE6X32105502	5RxXQDO8DJ3dKnvTeQUadQ	5QoNyFJzZLKJyQYrEP5cor
2022-02-23T20:05:58	Chef's Special	Smeeagain	DEQ022270020	600urY4NaWoTnxBCiLtnTC	2LTRTV2dmIxyoyHC7QZ7mZ
2022-02-23T20:03:46	Winter Dream	fox	FXQ892100090	6I2OET1Xa8svhePr2tXe2f	2SXuNJWv9RZcRjUc7zIsHy
2022-02-23T20:02:20	Nothing Yet	DESH, Søren Søstrom, Soul Food Horns	QM3DF2177827	1ifkT68JDLWlmByZqJ4QwB	6nJ2MPazBFrwU07sGCpdcO,2F5B5YgPDinjL9x35lkkke,42gnrsSSKKNNmfAJ0o3oyN
2022-02-23T19:58:40	I Follow You	Melody's Echo Chamber	GBCEL1200322	3EEzQDCP8jRl2pEt9eDKMO	1S0vL284jxZYKtZQ2jsQ2X
2022-02-23T19:55:05	Rolled Up	Benny Sings, Mac DeMarco	NLX5C2000002	1d52ojZ5jit1QcJ3k6D4Uv	4gHcu2JoaXJ0mV4aNPCd7N,3Sz7ZnJQBIHsXLUSo0OQtM
2022-02-23T19:50:19	Make It Better (feat. Smokey Robinson)	Anderson .Paak, Smokey Robinson	ZZOPM1900900	4SBVWkRIMJ6WBCYPvr5Bwr	3jK9MiCrA42lLAdMGUZpwa,0h9smro0z3HqUbD94jotU8
2022-02-23T10:44:06	Make It Better (feat. Smokey Robinson)	Anderson .Paak, Smokey Robinson	ZZOPM1900900	4SBVWkRIMJ6WBCYPvr5Bwr	3jK9MiCrA42lLAdMGUZpwa,0h9smro0z3HqUbD94jotU8
2022-02-23T10:41:01	14 Faces	Lewis Del Mar	USSM11605395	0OQrp8LpflFbQz6ck0NStc	2oqwwcM17wrP9hBD25zKSR
2022-02-23T10:37:22	Tú	maye	QM24S1924181	1jecO8NeYLsVWVptITz4c1	5ti5FPHgtaSf15KcUisZMt
2022-02-23T10:33:56	Anyone Who Knows What Love Is (Will Understand)	Irma Thomas	USCA26400283	6L2woktiAuW35BrcROmhW5	01Z8Z9K54zewyP04ZfGLSv
2022-02-23T10:30:54	Cola	Arlo Parks	GBLVL1800074	0i6c86ntKJoZpKk8aCHL3c	4kIwETcbpuFgRukE8o7Opx
2022-02-23T10:27:04	Forget Me Nots - Remastered	Patrice Rushen	USEE10183258	4UQH52FfgGpzDShKDbBvEA	1mNnxxnPfHQDOkFjnZmdkc
2022-02-23T10:22:20	Down for You	Cosmo's Midnight, Ruel	AUBM02000005	2nelvMgL7LyIUAYwmmRyy1	4VivsO1n4n2Mi2Btyb5gfL,5xkAtLTf309LAGZTbvULBn
2022-02-23T10:19:05	Cosmic Dancer	T. Rex	GBCHM7100022	5gOnivVq0hLxPvIPC00ZhF	3dBVyJ7JuOMt4GE9607Qin
2022-02-23T10:14:37	Still Young	The Cat Empire	AUTW01300006	4q7klA9ggWknZDhHhz9XYp	023YMawCG3OvACmRjWxLWC
2022-02-23T10:10:19	calor	daniel sabater	QZHNB1926860	2QNT2MvSRO1DrqrmAnX47Y	5yTNm3JFNfBa79zLIRKVwN
2022-02-23T10:07:05	Supermarkets	Birthh	ITB261900440	0KNxcVJ8zc7uYxQ7krwBuG	6ziYh8Enk7RYoWqEdkEvDn
2022-02-22T20:47:05	Stop In the Name of Love	Bang Gang	ISQ110300209	4edsfs5X4f4AeAwDqjL3VI	2fx7ZzHDwjIK13GOGAnb2O
2022-02-22T20:45:05	Bags	Clairo	US4HB1900080	6X3FZtz4cKU2MKSQlGG9ZG	3l0CmX0FuQjFxr8SK7Vqag
2022-02-22T20:40:44	Be Fine	RØMANS	QMJMT1801835	2Xlx3s6Kv5B4IhAd1ziG2o	4b8dLpJgJpNQYzu4AtXLt3
2022-02-22T20:37:23	Sola	Jessie Reyez	USUG11801516	3doK7YkkgMtfD6qoXCkTWh	3KedxarmBCyFBevnqQHy3P
2022-02-22T20:33:05	Painting (Masterpiece)	Lewis Del Mar	USSM11605396	7kmSIKAk4VHP4QUjpBPbGg	2oqwwcM17wrP9hBD25zKSR
2022-02-22T20:29:02	Sis	Clairo	QMEZE1907827	6Qoz4HdYCIzQCmEd8ARYWP	3l0CmX0FuQjFxr8SK7Vqag
2022-02-22T20:26:45	Sunflower	Rex Orange County	US23A1500468	4EpZ4eYuZOwPSSwyqpdHnJ	7pbDxGE6nQSZVfiFdq9lOL
2022-02-22T20:22:33	Siren Song	The Brother Brothers	USCO91911701	3nKCmdfFSB49NPGRsfD4wh	7bsyET4aRFBJ9dOtGeHCX5
2022-02-22T20:19:28	hope is a dangerous thing for a woman like me to have - but I have it	Lana Del Rey	USUG11900001	0fB77VOZ2FkQeKLv1DuEwp	00FQb4jTyendYWaN8pK0wa
2022-02-22T20:12:06	July (feat. Leon Bridges)	Noah Cyrus, Leon Bridges	USQX91903078	3V0nnQhqvbE3JmiDdnzQFQ	55fhWPvDiMpLnE4ZzNXZyW,3qnGvpP8Yth1AqSBMqON5x
2022-02-22T20:09:33	For A Minute	WizTheMc	QZES52016808	2zAKwUD7TVTt8qTxa9bnQJ	3ebS2RuCq8QeLyndUDmgB5
2022-02-22T19:04:24	Insomnia	One Hot Drink	SE6SA2158831	2zAZUOSnbSccXyqv67GU2E	0l0Zsvx228xpOBcBOnlXfm
2022-02-22T19:02:45	After Dawn	DESH, Søren Søstrom, Noé Mina, No. 18	QM3DF2117496	73JQim3QLhAAtlx0FJTdBp	6nJ2MPazBFrwU07sGCpdcO,2F5B5YgPDinjL9x35lkkke,6bhgnwSJ85LTzAeWRFXrzF,1p6OSG0rFg8ISBQXjWsfgm
2022-02-22T19:00:31	Blueberry Muffin	Monetary Justice	NLE802100487	6XQgDAlrnksFef8kMlnqfp	4aj1K6Uv8hICdFswLBuGlx
2022-02-22T18:58:55	Dream In - TiMT Remix	Kan Sano, TiMT	JPZ922113781	7yA5bPUdlZnsEdVqhBqJFs	5b3ZFm6P1lpZIASMDnBDs9,6JavWK8JRQbZ3oX9nrkSyb
2022-02-22T17:22:16	Dream In - TiMT Remix	Kan Sano, TiMT	JPZ922113781	7yA5bPUdlZnsEdVqhBqJFs	5b3ZFm6P1lpZIASMDnBDs9,6JavWK8JRQbZ3oX9nrkSyb
2022-02-22T11:42:48	Pass It On	Zen Park	DEZC62122075	6W14nPKn5Xro5bg98uTM33	3XSqByZe2kuUAquw8seGD6
2022-02-22T11:40:49	Mezzanine	Skeptika	DEQ022112089	25BTCsL9FKR7xg01dnzt9Y	34yxdeDhSnUVmM0DZcExpT
2022-02-22T11:39:51	Longing Beats	Dustin Pierce	SE5IB2210273	2S8x2UmgZFqGNPQxe2zLL4	5sTFuoodmdQo8VONj2XL4z
2022-02-22T11:37:49	Chimmany	Hanses	DEZC62128523	5aPI00wZpl2xhPQfI7TPlH	6wwQjgTWrlZBFU4PcloxaR
2022-02-22T11:36:25	Mr. Hammond	Pixie Dust, Drxnk, Golden Ticket Tapes	DEZC62117886	3O4HneSc45t9lVJBXmLOdR	0kSqe2dBbt8rg07yfEBnjR,0wN7ALPeSqOb16sG7vl4RC,1XHE2jFO11NVGUBv25uDVZ
2022-02-22T11:33:59	Kafald	o k h o	FR9Z62100485	7ypy8dZBP8gZTGJ7RWJ0Ee	427e5CiqmL4TmWb5Zvax7U
2022-02-22T11:32:13	Neon Stars	Noé Mina, delaney., DESH	US3DF2113399	5wxzKZwf1uHEUW2kat0Vqr	6bhgnwSJ85LTzAeWRFXrzF,33mF58EgWRWcLJWIddSH7h,6nJ2MPazBFrwU07sGCpdcO
2022-02-22T11:30:07	Maya	Wacho	DEYF12100070	1cOskEECLPMl1A81dsRke4	6fBCb271VXZBhTA3qhXdZU
2022-02-22T11:27:15	Watanabe	KLIM	QM3DF2142151	7vIxfxNI94g3qeGJ6xoJBA	2mI6A1by7u32RZH8Kf61Kw
2022-02-22T10:34:35	17	Julia Michaels	USUM71912027	0ND8rF8oirMXtE59n585P6	0ZED1XzwlLHW4ZaG4lOT6m
2022-02-22T10:31:32	Acoustic	Billy Raffoul	USUM71802422	1kJygfS4eoVziBBI93MSYp	5gw5ANPCVcxU0maLiGRzzP
