PROLIFIC_PID,d_score,o_score
5b6dada03ce3ab0001fd077c,0.082,3
6107f8e71da90474ed188cb3,0.316,2
61720e04849f1568c2f3e999,-0.11,5
604a3c8ec261d2fa6ac242c3,0.024,5
609ab970bcff69957427445d,0.615,4
60f1881264ff3a7f211d186a,-0.438,3
5f444f41d9255617e1ba10ff,-0.119,3
608bb6544e29801f4cac1c2d,0.082,4
60496d3990d324547105f959,-0.582,4
5e68d8b2a042a7000d529490,0.318,5
5c4c53b95aa8dc00011b0dce,-0.188,3
60b553fb5705a4355358afaf,-0.601,3
60d9a7c0aebfc51577e97903,-0.099,1
615094c9a1ba0233a8c3ccc4,-0.254,5
6113a568434313758954bb53,0.104,4
615da7549e575b94827b81ab,-0.153,5
611fce73e0a46ebc8e4b90a5,0.042,4
5be2965691deed00015acc2b,-0.492,2
608c349d8e7f57e8f84d3a27,-0.045,5
5ea1c3f3e9fb240a9b243e18,-0.209,5
5f2d14d99d93bf265393b8ac,-0.293,3
60e467a0b2c2ef1e594bd577,0.257,3
6032b41809e86b2d25e6abf5,0.153,4
61123b66dae2d7c959c7ff31,-0.77,3
5ebefa4d2bd5510ff39688c1,0.777,5
5e9dd814910d621387801b01,0.827,4
5dee6f4d3b1c9450c5d126fc,-0.543,3
5f8b031f5f71b109548721bd,0.281,2
615db8621a77715a3f2e6b54,0.215,4
5de440d3400de40285c01263,0.443,3
6014314ae378481403f01e86,-0.386,4
5fda8761cffa3b71e6d684bf,-0.414,4
6152dfa0790891ef5d673501,-0.259,3
5fb3d4024e5665000a941d9d,0.159,3
61322612510b85268a0c4b63,0.374,3
609a7d5287ca8fb83e0780d4,-0.471,1
615c43b800752a4f3d0fd1f0,-0.538,4
5da839f66f11e500123e30c7,-0.111,5
61712b162161b5362dd40119,-0.282,3
61465149835949882116b8c4,0.704,5
61141c855eb58d6a4e3d8d5b,0.187,4
610afb895c8cef9f6ec1ac6a,0.799,3
58f50400f4ce600001016db5,-0.034,2
5b0a93f030d562000155259e,0.228,5
5ed6d66c4ddb96153b704550,-0.317,5
5e8f31ca66838a1ff52975b5,-0.647,1
