PROLIFIC_PID,Relaxing,Commuting,Partying,Running,Shopping,Sleeping,Studying,Working,Tempo,Danceability,Acousticness,Instrumentalness,Gender,Skin,Origin,Age
5df76aff2d2185502504d15c,1,1,4,4,2,1,2,2,5,4,1,1,3,3,3,1
608539cd54e4230bbaaf4959,2,3,5,5,3,1,1,1,5,5,2,2,3,3,3,3
60ecadbc339c0f0e49a9c370,1,2,4,3,2,1,1,1,4,4,1,1,3,3,3,3
60c939c438c389b49847c08b,3,3,4,4,4,1,2,2,4,4,3,2,4,3,4,2
5f27df9a9858eb0008fd7aa3,1,2,4,1,1,1,1,1,4,4,2,3,4,2,5,3
612ccc537fd00ae8b3e8b95f,1,4,5,4,4,1,1,2,5,2,1,1,3,2,4,2
5f285902166da3151b01faf2,4,3,5,4,3,2,4,4,3,4,3,3,3,3,3,2
60f5a332d13bb868d7724c52,1,2,2,2,2,1,1,1,4,4,2,2,4,2,4,2
6024c1edf9b0e11f13c59cbd,2,2,4,4,3,1,1,4,4,2,4,2,5,3,2,2
61641b8573a9dcd29ba9d87b,1,3,3,3,3,1,2,4,5,4,2,2,3,2,4,2
5f33ead9400eee2403448c32,2,3,4,4,2,1,2,4,4,5,3,3,3,3,3,3
609e866bea124d8bae2e1ce8,1,3,5,4,4,1,1,1,5,2,1,1,5,2,4,2
5d8346167ed176001888204d,2,2,2,2,1,1,2,1,4,4,2,2,3,3,3,2
5d39dd63c49dae00016065c7,3,5,5,4,2,2,4,3,4,4,3,3,4,2,4,2
5ef698a927c8ea38d5bcc192,1,1,3,3,1,1,1,1,5,3,2,2,3,2,3,2
5f0471a92ec97b6d1aec7739,3,3,5,4,3,1,1,1,5,4,2,3,4,3,3,2
615e2e6bb4b4ab6fa6f6086f,2,1,5,4,2,1,1,1,4,5,1,3,4,2,4,2
60b3576258dd0303232cb158,1,1,3,4,1,1,1,2,4,2,1,1,4,2,1,1
5f8eed755fcafb0baa531301,3,3,5,4,4,2,3,3,4,4,3,2,3,3,3,2
5e85fb52694b68049c112544,3,2,5,4,2,1,1,2,5,4,4,3,1,3,2,1
5ea718879d28c80bf38bcb7f,3,2,4,4,2,1,3,2,4,4,3,3,3,2,4,3
60bd04a3749e1ca47e54d3e1,1,1,4,4,1,1,1,1,4,4,2,2,2,3,5,1
6166e78051425fa22de68491,2,3,4,4,4,1,1,2,4,2,1,2,4,1,4,3
6145dddfa6fcfd396e1f4f1a,1,4,5,4,4,2,1,4,4,4,2,2,3,2,4,2
5ecd600061398f0bffb5ccef,4,3,5,3,2,1,2,2,4,3,2,3,3,3,3,2
605663e5147a7b66e6853a0b,1,3,5,4,3,1,1,4,4,4,4,4,3,3,3,3
5dcbea3588381e87f60cb202,2,3,4,4,2,2,3,3,4,4,2,2,4,2,4,2
60a44015d0ff9f3d81a1a1c8,1,2,5,4,4,1,2,2,5,4,1,2,4,2,4,1
5f11ccbc1a1a2c08b4a99efb,2,4,4,4,3,1,1,3,5,4,2,2,4,3,3,2
612fe64ec0e4e3b001e553ef,1,3,4,4,2,1,1,1,4,3,2,2,5,3,4,1
5e92f26b444572122fdfe44d,5,4,5,4,3,2,3,2,3,5,2,3,4,2,4,1
6082f09379b513197ffeb54e,1,2,5,5,3,1,3,2,5,5,2,2,3,1,5,1
6134fe6f036b9de4fb216cb2,4,2,4,1,1,1,2,4,4,4,2,2,4,2,4,2
612820047346933da8342f74,3,3,5,4,4,2,3,4,5,5,3,2,3,2,4,2
5f20247996215b06459cdfff,4,3,5,4,1,1,2,4,3,4,3,2,3,2,4,3
5c7c3909042bf900012ab4d1,1,2,5,5,1,1,1,2,5,4,1,2,4,4,5,1
611cf2fd04c64ae9781b55e5,4,4,4,4,4,2,4,4,4,4,2,2,4,2,4,2
60aabff11bad269f664ccbc7,2,2,5,5,5,2,2,4,4,5,2,2,5,5,1,2
5f6132f075b3fa0ac649fd3c,2,2,4,3,3,1,1,2,4,3,2,2,5,1,5,4
613d091096ca434d703f77c5,1,3,5,5,3,1,2,5,5,5,2,2,3,2,3,1
616b2703143d4550968777b8,1,4,5,4,4,1,1,3,5,5,4,1,3,3,3,3
605c984fb45a5c4f390a8c6b,4,3,5,4,2,1,2,4,4,5,3,1,3,3,3,1
5d70ec2138ac7e00012f817b,2,2,4,4,2,1,3,2,5,4,1,2,4,2,4,3
6076dfb3ec881562b02b03a7,1,4,4,4,2,1,2,2,4,3,3,2,4,3,2,2
5c39af407aa30a0001ffac91,2,2,5,4,4,1,1,2,4,5,4,4,4,2,4,2
60fd945c307626b8b4d4e4dc,1,1,4,3,1,1,1,1,5,4,1,2,4,2,4,4
5ef36b13c358120b8508ab5d,1,1,4,3,2,1,1,1,3,2,2,2,4,3,4,3
5ebc3cc7adb5e706b8021deb,2,3,4,4,2,1,1,2,4,4,2,2,4,3,5,2
5f8f1d38e25d2b1306f8e554,2,3,4,4,3,2,3,3,4,5,3,2,3,3,3,2
61071bc6d5e086fc27f57884,3,2,4,3,2,1,3,4,4,4,1,2,3,2,4,1
