PROLIFIC_PID,familiarity,like,playlist
5c0fde85d86a170001faa55a,2,3,2
5c39af407aa30a0001ffac91,3,3,2
5c7c3909042bf900012ab4d1,2,2,2
5d39dd63c49dae00016065c7,2,3,1
5d70ec2138ac7e00012f817b,2,2,2
5d8346167ed176001888204d,2,3,1
5dcbea3588381e87f60cb202,2,2,2
5df76aff2d2185502504d15c,2,2,2
5e85fb52694b68049c112544,2,5,1
5e92f26b444572122fdfe44d,1,4,1
5ea718879d28c80bf38bcb7f,2,2,1
5ecd600061398f0bffb5ccef,2,2,2
5ef36b13c358120b8508ab5d,2,3,2
5ef698a927c8ea38d5bcc192,2,2,2
5f0471a92ec97b6d1aec7739,2,4,1
5f11ccbc1a1a2c08b4a99efb,1,3,1
5f20247996215b06459cdfff,2,4,2
5f285902166da3151b01faf2,2,2,2
5f33ead9400eee2403448c32,2,3,2
5f6132f075b3fa0ac649fd3c,2,1,2
5f8eed755fcafb0baa531301,2,4,2
5f8f1d38e25d2b1306f8e554,2,2,2
5fb680f7e13f87000aa59a9a,3,3,2
60199014a4f7250bea248b6d,2,2,2
6024c1edf9b0e11f13c59cbd,2,2,2
605663e5147a7b66e6853a0b,3,4,2
605c984fb45a5c4f390a8c6b,2,4,2
6076dfb3ec881562b02b03a7,2,1,2
6082f09379b513197ffeb54e,2,3,2
608539cd54e4230bbaaf4959,2,2,2
609e866bea124d8bae2e1ce8,2,2,2
60a44015d0ff9f3d81a1a1c8,2,3,1
60aabff11bad269f664ccbc7,1,3,2
60b3576258dd0303232cb158,3,2,2
60bd04a3749e1ca47e54d3e1,2,3,2
60c939c438c389b49847c08b,2,3,2
60ecadbc339c0f0e49a9c370,2,2,2
60f5a332d13bb868d7724c52,2,1,2
60fd945c307626b8b4d4e4dc,2,1,2
61071bc6d5e086fc27f57884,2,1,2
611cf2fd04c64ae9781b55e5,3,3,2
612820047346933da8342f74,2,5,1
612ccc537fd00ae8b3e8b95f,1,3,1
612fe64ec0e4e3b001e553ef,3,2,2
6134fe6f036b9de4fb216cb2,2,1,2
613d091096ca434d703f77c5,1,5,1
6145dddfa6fcfd396e1f4f1a,1,4,2
615e2e6bb4b4ab6fa6f6086f,2,3,2
61641b8573a9dcd29ba9d87b,2,2,2
6166e78051425fa22de68491,2,3,2
616b2703143d4550968777b8,2,3,2
