sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4d4ZXH4dr5bYfgErHiZCX2	Bad Bunny	Dos Mil 16	QM6MZ2214889	86	latin,reggaeton,trap latino	0.123	0.817	1.92e-06	0.0506	130.058	0.495	0.67
2NMjggapJcXXM7WccGEBUO	Bad Bunny	Enséñame a Bailar	QM6MZ2214887	85	latin,reggaeton,trap latino	0.191	0.81	1.08e-05	0.0846	105.009	0.77	0.789
2uflssWlCaJ6CbTMOsUpNI	Bad Bunny	Aguacero	QM6MZ2214886	85	latin,reggaeton,trap latino	0.423	0.861	0.000592	0.0743	121.391	0.668	0.645
6Xom58OOXk2SoU711L2IXO	Bad Bunny	Moscow Mule	QM6MZ2214875	92	latin,reggaeton,trap latino	0.294	0.804	1.18e-06	0.0333	99.968	0.292	0.674
1797zYiX4cKosMH836X9Gt	Bad Bunny,Tony Dize	La Corriente	QM6MZ2214883	86	latin,reggaeton,trap latino	0.229	0.663	0.0	0.195	196.12	0.579	0.786
31i56LZnwE6uSu3exoHjtB	Bad Bunny	Neverita	QM6MZ2214882	86	latin,reggaeton,trap latino	0.0706	0.876	0.0	0.0478	122.016	0.428	0.498
5CzixCxDkRXX9mScCmah8O	Bad Bunny	Un Ratito	QM6MZ2214879	87	latin,reggaeton,trap latino	0.305	0.787	4.55e-05	0.0532	93.05	0.222	0.546
1IHWl5LamUGEuP4ozKQSXZ	Bad Bunny	Tití Me Preguntó	QM6MZ2214878	89	latin,reggaeton,trap latino	0.0993	0.65	0.000291	0.253	106.672	0.187	0.715
71wFwRo8xGc4lrcyKwsvba	Bad Bunny,Tainy	Callaita	QM6N21919851	82	latin,reggaeton,trap latino	0.597	0.608	2.16e-06	0.301	176.086	0.246	0.626
0wihfILRNOwE2156Shezc8	Bad Bunny	Agosto	QM6MZ2214896	84	latin,reggaeton,trap latino	0.0929	0.849	6.18e-06	0.115	115.018	0.724	0.584
18HOjcvTVV7W8YzBuOsAPS	Bad Bunny	Un Verano Sin Ti	QM6MZ2214895	85	latin,reggaeton,trap latino	0.693	0.503	0.0	0.0556	187.844	0.412	0.496
0E0DRHf5PfMeor0ZCwB3oT	Bad Bunny,The Marías	Otro Atardecer	QM6MZ2214891	85	latin,reggaeton,trap latino	0.59	0.777	0.00139	0.0375	108.02	0.546	0.595
1mSviQV9iQnGSRyvTIuxAj	Alvaro Diaz,Rauw Alejandro	Problemón	USUM72118879	73	reggaeton,trap boricua,trap latino	0.266	0.706	2.62e-05	0.0586	91.906	0.371	0.739
1BssJgelMGDNOeIy7ZqgOW	Ñengo Flow,Bad Bunny	Hoy (feat. Bad Bunny)	USDXS1700004	61	latin,latin hip hop,reggaeton,reggaeton flow,trap latino	0.23	0.675	0.0	0.151	141.87	0.553	0.681
3qUdysxsu5FDvOl7nR5vln	Daddy Yankee,Myke Towers	PASATIEMPO	USUG12201733	73	latin,latin hip hop,reggaeton,trap latino	0.037	0.846	0.0	0.0488	100.04	0.556	0.668
2OBGEbABJBTQJg1dn3TVgo	C.R.O	Reina	AR5IR1800009	61	trap argentino,trap latino,trap triste	0.33	0.713	0.00345	0.0597	135.992	0.699	0.821
4j4w4CXm6BSr0s25wAWrrX	Bad Bunny,Yaviah	Bichiyal	QM4TX2030829	76	latin,reggaeton,trap latino	0.31	0.737	6.63e-06	0.0458	93.956	0.662	0.766
6bvfJf4KjonPMuPfGfy3S2	Nio Garcia,Anuel AA,Myke Towers,Brray,Juanka	La Jeepeta - Remix	QM6MZ2057011	64	latin,latin hip hop,reggaeton,trap latino	0.297	0.814	4.89e-06	0.207	176.013	0.789	0.714
5q2JbCNi4FcnglgPfxcV65	Anuel AA,Daddy Yankee,Zion & Lennox,Farruko,Wisin	Sola	USDXS1600316	75	latin,reggaeton,reggaeton flow,trap boricua,trap latino	0.27	0.639	0.0	0.147	169.801	0.767	0.869
723BtHZOTCxN2xOselHQpG	Sfera Ebbasta,Rvssian,BIA	X6 (feat. BIA)	ITUM72200448	66	italian hip hop,italian pop,trap italiana	0.145	0.908	1.57e-06	0.0783	120.039	0.541	0.496
1gYipuSzUpI6BENbGrgeid	Jhay Cortez	Tokyo	USUM72113452	65	latin,reggaeton,trap latino	0.282	0.654	1.07e-05	0.134	120.106	0.274	0.696
278kSqsZIiYp8p3QjYAqa8	Bad Bunny	NI BIEN NI MAL	QM7281884659	73	latin,reggaeton,trap latino	0.556	0.826	1.85e-05	0.0674	128.028	0.337	0.449
3lz3pZ0Jd5XtB4PfgvcHg1	Santa Fe Klan	Mar y Tierra	QM4TX2250910	76	mexican hip hop	0.179	0.702	0.0	0.0615	135.91	0.496	0.577
4e4t1qNN47CzmCxFffzs4U	Daddy Yankee,Rauw Alejandro,Nile Rodgers	AGUA	USUG12201721	74	latin,latin hip hop,reggaeton,trap latino	0.0495	0.834	2.61e-05	0.0421	118.03	0.32	0.68
2uky0VCI2EZni0nArOPznM	Bizarrap,Paulo Londra	Paulo Londra: Bzrp Music Sessions, Vol. 23	UYB282201026	87	argentine hip hop,pop venezolano,trap argentino,trap latino	0.256	0.456	0.0	0.136	95.927	0.329	0.91
63ZedTAVRCICh2CNLWnsPZ	Beny Jr,Morad,K y B	Sigue	ES71G2211486	75	drill espanol,trap latino	0.611	0.682	0.0328	0.165	122.053	0.594	0.708
4NqQaovM14WR2hNPMFxgjb	Bad Bunny	25/8	QM4TX2030966	71	latin,reggaeton,trap latino	0.092	0.761	0.0	0.0549	151.982	0.542	0.732
6riuMNiPqRmE4LPJZGzIuv	El Alfa	Gogo Dance	QM4TX2261587	69	dembow,latin,rap dominicano,reggaeton,trap latino	0.12	0.596	0.518	0.161	118.02	0.705	0.868
04f13iELcsYpY2yeLiAcfq	Nicky Jam,Ozuna,Bad Bunny	El Amante (feat. Ozuna & Bad Bunny) - Remix	USSD11700308	66	latin,latin hip hop,reggaeton,trap latino	0.311	0.803	0.0	0.0535	89.968	0.598	0.767
0EFxJw34fK8DWlTxx9qYeW	Blessd	Instagram	COA6W2102801	77	reggaeton,trap latino	0.264	0.801	0.00115	0.223	179.968	0.967	0.563
0LKu09Iq053CEUZ5ktQEWc	Maluma,Feid	Mojando Asientos (feat. Feid)	USSD12200207	79	latin,reggaeton,reggaeton colombiano,trap latino	0.0352	0.773	0.0	0.0819	94.99	0.49	0.767
2JPLbjOn0wPCngEot2STUS	Bad Bunny	Yonaguni	QM6P42169803	88	latin,reggaeton,trap latino	0.276	0.644	0.0	0.118	179.951	0.44	0.648
1UdzJEpgJxtuXAlCOvD4S0	Danny Ocean	Fuera del mercado	USWL12200098	88	latin,pop venezolano,reggaeton,trap latino	0.32	0.453	0.0	0.144	92.06	0.266	0.673
1F205Nl2feOSYSztLNOJAL	Eladio Carrion,Brytiago	3 Am	QM4TW2024082	70	trap boricua,trap latino,trap triste	0.413	0.852	0.000201	0.108	89.951	0.576	0.613
6c32C8T3KlXrbvWSoD5aON	Myke Towers	Experimento	USWL12100447	77	latin,reggaeton,trap latino	0.0828	0.805	0.0	0.0393	110.042	0.682	0.806
0fea68AdmYNygeTGI4RC18	J Balvin,Bad Bunny	LA CANCIÓN	USUM71911618	84	latin,reggaeton,reggaeton colombiano,trap latino	0.152	0.754	1.85e-05	0.317	176.089	0.429	0.646
2n7ohqg1s68ToAHh4u9mcW	Bad Bunny	Vete	QMFME1914637	74	latin,reggaeton,trap latino	0.0363	0.886	8.78e-06	0.188	91.976	0.526	0.672
2dNhNlpZAtV4lwAFW45LIv	Nio Garcia,Flow La Movie	AM	QM4TW2137909	72	latin,latin hip hop,reggaeton,trap latino	0.399	0.83	8.95e-05	0.333	171.959	0.616	0.517
0QupfeRNFEdNatL4gkcZUp	Dímelo Flow,Reik,Jay Wheeler,Boza	Winnie Pooh	QM9WM2100115	63	latin,reggaeton,reggaeton flow,trap latino	0.0647	0.746	1.18e-05	0.142	173.903	0.511	0.669
6Sq7ltF9Qa7SNFBsV5Cogx	Bad Bunny,Chencho Corleone	Me Porto Bonito	QM6MZ2214877	90	latin,reggaeton,trap latino	0.0901	0.911	2.68e-05	0.0817	92.005	0.425	0.712
04d4GpLedinwpfctvgOIhY	Quevedo,La Pantera	Piel de Cordero	SE6TI2137334	74	rap canario,trap latino	0.46	0.827	4.42e-05	0.225	128.028	0.256	0.541
0HINQFSerZ6iMfSsaTO3G5	DEKKO	12x3	USLD91735888	81	reggaeton colombiano,trap latino	0.00118	0.869	6.97e-05	0.121	93.989	0.613	0.727
6NfC2FKfsfzuLIF4lThw0A	Anuel AA,Bad Bunny	Así Soy Yo	QM6N22028167	60	latin,reggaeton,reggaeton flow,trap boricua,trap latino	0.445	0.732	0.00152	0.116	176.026	0.724	0.807
0l8vhDaEztxLCQsFOAX64d	Rvssian,Sfera Ebbasta	Pablo	USA2P1853227	54	latin,latin hip hop,reggaeton,reggaeton flow,trap latino	0.071	0.813	0.0	0.0433	140.016	0.343	0.663
4uP3pUP18ennmz0tb3GphR	Bad Bunny	Solo de Mi	QM7281869444	71	latin,reggaeton,trap latino	0.287	0.743	8.1e-05	0.125	179.972	0.15	0.73
2gpQi3hbcUAcEG8m2dlgfB	Paulo Londra	Plan A	USWL12200224	87	argentine hip hop,trap argentino,trap latino	0.0495	0.583	0.0	0.0444	173.935	0.557	0.834
5dtzqRtiXKftAk6B6vxUmr	Alvaro Diaz,Feid,Tainy	Llori Pari	USUM72115660	60	reggaeton,trap boricua,trap latino	0.282	0.602	0.0	0.0518	174.048	0.319	0.573
4tQofG51E0juZBBVr6pral	Mora	Tuyo	QM4TW2165659	67	latin,reggaeton,trap latino	0.473	0.744	6.49e-05	0.305	104.851	0.311	0.827
