listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T09:56:43	STAR	Jessi	KRA382003118	64UJcOMUgdFnSyTmP2NdA0	64k5e9kV9MdukXjFrR5R37
2022-05-24T19:21:25	Shout Out to My Ex	Little Mix	GBHMU1600060	0ErK6K0kYr0Ow2RkPMhmMs	3e7awlrlDSwF3iM0WBjGMp
2022-05-24T19:17:33	FUCKBOY	Dixie	ZZOPM2105343	1AXJqw8lCf3chqvgq4U8mA	3DKkhRCGOG4e8IUPYFPfWs
2022-05-24T19:14:23	Hold On	Justin Bieber	USUM72102322	4u4NyuceXP7Uzh7XFJKCr1	1uNFoZAHBGtllmzznpCI3s
2022-05-24T19:11:33	Rain On Me (with Ariana Grande)	Lady Gaga, Ariana Grande	USUM72004304	24ySl2hOPGCDcxBxFIqWBu	1HY2Jd0NmPuamShAr6KMms,66CXWjxzNUsdJxJ2JdwvnR
2022-05-24T19:08:32	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-05-24T19:05:32	Bet You Wanna (feat. Cardi B)	BLACKPINK, Cardi B	KRA402000134	7iAgNZdotu40NwtoIWJHFe	41MozSoPIsD1dJM0CLPjZF,4kYSro6naA4h99UJvo89HB
2022-05-24T16:38:28	Timber (feat. Ke$ha)	Pitbull, Kesha	USRC11301695	3cHyrEgdyYRjgJKSOiOtcS	0TnOYISbd1XYRBk9myaseg,6LqNN22kT3074XbTVUrhzX
2022-05-24T15:27:23	HOME	BTS	QM6MZ1917911	6Yc3tjFCVR2bfAQFRTZBef	3Nrfpe0tUJi4K4DXYWgMUX
2022-05-24T15:17:00	Fallin’ (Adrenaline)	Why Don't We	USAT22005765	6nfqlFOMiWthaOEa53uU0v	2jnIB6XdLvnJUeNTy5A0J2
2022-05-24T15:13:25	Take You Dancing	Jason Derulo	USAT22004479	59qrUpoplZxbIZxk6X0Bm3	07YZf4WDAMNwqr4jfgOZ8y
2022-05-24T15:10:15	2002	Anne-Marie	GBAHS1800094	2BgEsaKNfHUdlh97KmvFyo	1zNqDE7qDGCsyzJwohVaoX
2022-05-24T10:14:43	Heartbreak Anthem (with David Guetta & Little Mix)	Galantis, David Guetta, Little Mix	USAT22102165	5K6Ssv4Z3zRvxt0P6EKUAP	4sTQVOfp9vEMCemLw50sbu,1Cs0zKBU1kc0i8ypK3B9ai,3e7awlrlDSwF3iM0WBjGMp
2022-05-24T10:02:31	Lost In Japan	Shawn Mendes	USUM71803548	79esEXlqqmq0GPz0xQSZTV	7n2wHs1TKAczGzO7Dd2rGr
2022-05-24T09:59:11	Black Magic	Little Mix	GBHMU1500046	6rmXhRIemCTPyMYZRDN7Qg	3e7awlrlDSwF3iM0WBjGMp
2022-05-24T09:56:55	Black Magic	Little Mix	GBHMU1500046	6rmXhRIemCTPyMYZRDN7Qg	3e7awlrlDSwF3iM0WBjGMp
2022-05-24T09:53:57	Magic	TOMORROW X TOGETHER	USA2P2108443	08my8XgmXQWx3VRRU8EOTP	0ghlgldX5Dd6720Q3qFyQB
2022-05-23T20:22:54	badbye	RM, eAeon	QM6P41828293	7L8JKDh4yB5rCcg2Rp4yvz	2auC28zjQyVTsiZKNgPRGs,3ZSbXArE6mxOleJnsumK4u
2022-05-23T20:11:45	I`m a B	Hwa Sa	KRA382163777	1AToLLvWghQgiBFef1iGuR	7bmYpVgQub656uNTu6qGNQ
