listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-19T14:04:28	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	USWL12100143	4OwhwvKESFtuu06dTgct7i	5FQ8tBUtIamA2hRtatrYUF,1mcTU81TzQhprhouKaTkpq,1aMt4A5jrQHxDYyC7rXgV0
2022-06-19T14:00:32	Me Quedo (feat. Ana Mena)	Nil Moliner, Ana Mena	ES5152100671	1MdsletWuIR9ItEnitWRwp	6X8uzem5Dbl4l2so4CeexD,6k8mwkKJKKjBILo7ypBspl
2022-06-19T13:57:21	Ingobernable	C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo	ES5022100004	3SK45LddxlEkzI8OWO9Eyo	5TYxZTjIPqKM8K8NuP9woO,3jc496ljiyrS3ECrD7QiqL,6bXIjeV8nUh5pFxgzgny9P,3pUWmkSef9vJOPDViYGZ5L
2022-06-19T13:54:13	A ver qué pasa - Estrella Damm 2021	Rigoberta Bandini	ESA011750369	2F76kzOWgd3n6GwoKpRSTX	7DOERbtkx9aTLvWzZSB0qx
2022-06-19T13:49:46	Eso Que Tú Me Das	Jarabe De Palo	ES96A2000115	40tFJtuES1da2fg0OurUdI	5B6H1Dq77AV1LZWrbNsuH5
2022-06-19T13:46:11	Miénteme	TINI, Maria Becerra	USHR12141512	0cOa970mzTWAxKtltpkpLc	7vXDAI8JwjW531ouMGbfcp,1DxLCyH42yaHKGK3cl5bvG
2022-06-19T13:43:25	Me Sabe Mal	MARLENA	ES05I2100040	53w7xjn8fwwU8Pc6rgMm5v	1IAwO3v7hVP9ryTQtlzc9y
2022-06-19T13:40:09	Alegría de Vivir	Tu Otra Bonita	ES5152100556	4sJtmGdpGZKr8XMfiyJj3E	4dGKPIQgs3bhGLPaPXLl3a
2022-06-19T13:36:44	Formentera	Aitana, Nicki Nicole	ES5702102102	3nfICwo20uiFdEGzgNUSrG	7eLcDZDYHXZCebtQmVFL25,2UZIAOlrnyZmyzt1nuXr9y
2022-06-19T13:32:26	Libertad	Nil Moliner	ES5152100262	6Qi1MNFHCLo4bVsV14MOmz	6X8uzem5Dbl4l2so4CeexD
2022-06-19T13:28:08	CAMALEÓN	Belén Aguilera	ES71G2147985	5H1LLTRLRw59GZh6Xd5lGe	5fmYDIdgEkSgLdL6esxgfp
2022-06-19T13:25:02	Música Ligera	Ana Mena	ITB002101219	1lMuQJHBznRfq7GdQrIQN4	6k8mwkKJKKjBILo7ypBspl
2022-06-19T13:21:02	Canción Bonita	Carlos Vives, Ricky Martin	USSD12100149	5iF33sXejXwfTuidVHMll0	4vhNDa5ycK0ST968ek7kRr,7slfeZO9LsJbWgpkIoXBUJ
2022-06-19T13:17:27	Juramento eterno de sal	Álvaro De Luna	ES5152001096	23E53f3C9SJ9MqBh1f6hEw	5N3YDBGT2gUzXgLDTwPRi5
2022-06-19T13:14:01	360	Marc Seguí	ES5152100947	5KGgrDNF3C5vXwgSPaYASE	5FQ8tBUtIamA2hRtatrYUF
2022-06-19T13:10:46	Tacones Rojos	Sebastian Yatra	USUM72119612	0Be7sopyKMv8Y8npsUkax2	07YUOmWljBTXwIseAUd9TW
2022-06-19T13:07:36	Mon Amour - Remix	zzoilo, Aitana	ES5702101693	5TMLavqGRKNxgzMBrVpC9R	7c53ZFyajVMTo08HmvoB6b,7eLcDZDYHXZCebtQmVFL25
2022-06-19T13:03:47	Ay Mamá	Rigoberta Bandini	QMFMF2131022	0khVEzctbwmqLvOpg1ecbg	7DOERbtkx9aTLvWzZSB0qx
2022-06-19T13:00:10	Ateo	C. Tangana, Nathy Peluso	ES5022101546	5xiAfKzE3mbxYbOkUZPR11	5TYxZTjIPqKM8K8NuP9woO,3VHAySZQPlfGlNLslzXYpN
2022-06-19T09:00:15	Ay Mamá	Rigoberta Bandini	QMFMF2131022	0khVEzctbwmqLvOpg1ecbg	7DOERbtkx9aTLvWzZSB0qx
2022-06-18T19:04:59	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	USWL12100143	4OwhwvKESFtuu06dTgct7i	5FQ8tBUtIamA2hRtatrYUF,1mcTU81TzQhprhouKaTkpq,1aMt4A5jrQHxDYyC7rXgV0
2022-06-18T18:52:06	Ingobernable	C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo	ES5022100004	3SK45LddxlEkzI8OWO9Eyo	5TYxZTjIPqKM8K8NuP9woO,3jc496ljiyrS3ECrD7QiqL,6bXIjeV8nUh5pFxgzgny9P,3pUWmkSef9vJOPDViYGZ5L
2022-06-18T18:48:58	Eso Que Tú Me Das	Jarabe De Palo	ES96A2000115	40tFJtuES1da2fg0OurUdI	5B6H1Dq77AV1LZWrbNsuH5
2022-06-18T18:45:05	Miénteme	TINI, Maria Becerra	USHR12141512	0cOa970mzTWAxKtltpkpLc	7vXDAI8JwjW531ouMGbfcp,1DxLCyH42yaHKGK3cl5bvG
