sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2Q2El9wpZcH191YKF9sr3b	Natos y Waor,Recycled J	Más Alcohol	GBMA22181255	52	rap underground espanol,spanish hip hop,urbano espanol	0.00243	0.67	0.0	0.0322	120.037	0.514	0.79
7tiu52iT5YeFY7QhOCpmOs	La Gossa Sorda	Esbarzers	ES8241427204	44	musica catalana,musica valenciana,reggae catala,rock catala	0.0474	0.816	0.0	0.0365	143.97	0.963	0.804
6YNstobWK0Pio4NAumJkRH	No Te Va Gustar	Fuera De Control (En Vivo)	UYB140710310	39	latin alternative,latin rock,rock en espanol,rock uruguayo	0.0247	0.563	0.00542	0.0862	167.242	0.637	0.923
49ZEe0b29OurczXr8nthht	Los Auténticos Decadentes	Distrito Federal - Vivo en el Palacio de los Deportes	ARF471200040	36	argentine rock,cuarteto,latin alternative,latin rock,rock en espanol,ska argentino	0.053	0.585	0.0	0.0437	139.155	0.504	0.853
1N5W9POZOgCS6tph9vH631	ZOO	Vull	ES8021400133	43	mestissatge,musica catalana,rap catala,rap politico	0.000702	0.887	0.00242	0.107	119.996	0.96	0.865
4QB3WRZCWXvdB04Aqvermj	Tremenda Jauría	Esta Noche	ES20S1600046	37	musica catalana,rap latina	0.163	0.65	0.0	0.322	199.808	0.916	0.797
7aewi3v6lx0A5YWVT2H7qZ	Jorge Drexler	Inoportuna - Cara B	ES5150800211	29	cantautor,latin afrobeat,latin alternative,latin rock,rock en espanol	0.889	0.661	2.81e-05	0.242	72.949	0.578	0.217
6XR1DdEDU6LMMj7Mlyuzyy	Cuatro Pesos de Propina	Glu Glu	UYM121400395	41	argentine rock,musica popular uruguaya,rock uruguayo	0.816	0.591	0.0	0.0429	180.029	0.779	0.151
0cv4aSlZcTOoJ86zrM0iGv	Natos y Waor	Lágrimas Negras	ESA011510440	44	rap underground espanol,spanish hip hop,urbano espanol	0.0924	0.495	7.93e-06	0.0746	89.819	0.163	0.598
6Z1tZjQzSgEVoLYc5FE7pw	Hard GZ,Nikone,Dualy	Lo Real	ES94B2000216	54	rap espanol,rap politico,rap underground espanol	0.297	0.684	1.92e-06	0.128	100.095	0.575	0.567
1tAv2QRRkvXPepVHmM3HR6	Los Chikos del Maiz	Tesis de Abril	ES6081141507	19	rap politico,spanish hip hop	0.209	0.649	0.0	0.281	91.796	0.763	0.819
5VmoRnclAlBtbt1Icr0PY1	Onda Vaga	Mambeado	ARJ870800012	53	argentine indie,argentine rock,latin alternative,latin rock,rock en espanol,rock nacional	0.766	0.724	0.0	0.0414	87.515	0.956	0.783
1B7Wxx58QV4xrCjxI4Uu3i	Nicki Nicole,Trueno,Bizarrap	Dangerous	UYB282100023	65	argentine hip hop,r&b argentino,trap argentino,trap latino	0.727	0.66	0.0	0.0461	91.94	0.626	0.539
5ZmmNBKHKLDureKMGrRHCJ	Delaossa,Easy-S,J.Moods	La Placita	ESA011941113	56	boom bap espanol,rap canario,rap espanol,urbano espanol	0.773	0.564	0.0	0.341	81.728	0.656	0.534
