sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0bjgQ24UZGwKikldIyEOgf	Pop Smoke	Yea Yea	USUM72002027	57	brooklyn drill	0.0509	0.717	0.0	0.403	123.906	0.448	0.474
1H7KnK26kc1YyellpbINEn	Pop Smoke,50 Cent,Roddy Ricch	The Woo (feat. 50 Cent & Roddy Ricch)	USUM72013367	74	brooklyn drill	0.0221	0.49	3.77e-06	0.104	99.7	0.286	0.618
48xv7MWpMcpagWkgywOpXT	Holly Hood	Fácil	QMFMF1557113	38	hip hop tuga,trap tuga	0.725	0.603	1.74e-06	0.381	105.966	0.328	0.524
0fj9oGrCKxVA4sXDxvbfiM	Pop Smoke,PnB Rock	Backseat (feat. PnB Rock)	USUM72014351	62	brooklyn drill	0.577	0.704	0.0	0.0326	89.982	0.371	0.542
7ELYezIiSz16e0kyLZ5ZSL	Trap Manny,Pop Smoke	50k (feat. Pop Smoke)	US39N2000035	45	new york drill	0.162	0.653	0.0	0.198	140.064	0.335	0.582
57BGVV6wcyhbn3hsjlqEZB	Pop Smoke	Element	USUM72002041	76	brooklyn drill	0.0301	0.772	2.18e-06	0.324	61.311	0.305	0.878
0RLLvYBopDwooCyvnTwgYu	Lil Tjay	F.N	USSM11904899	76	brooklyn drill,melodic rap,nyc rap	0.354	0.567	0.0	0.247	120.1	0.321	0.515
2IT0T0EqPaUxasjl2o8J2G	Pop Smoke	Christopher Walking	USUM72000326	61	brooklyn drill	0.0114	0.773	0.0	0.244	141.004	0.764	0.744
6bsqes8Zg9gUULzuCkMUs0	Pop Smoke,Chris Brown	Woo Baby (feat. Chris Brown)	USUM72112396	48	brooklyn drill	0.359	0.563	0.0	0.0765	99.772	0.284	0.672
3DWjFSDEQ9IWz1mj449fB7	Pop Smoke	Get Back	USUM72002036	72	brooklyn drill	0.0746	0.798	1.34e-05	0.306	142.006	0.566	0.649
6uFn47ACjqYkc0jADwEdj1	Polo G,Lil Tjay	Pop Out (feat. Lil Tjay)	USQX91900309	76	chicago rap	0.15	0.772	0.0	0.467	168.112	0.261	0.639
792HwhrdO3ErRKL5yRe4Ge	Pop Smoke	Invincible	USUM72002003	77	brooklyn drill	0.125	0.548	0.0	0.336	142.791	0.612	0.732
25zlnOAzbVoOzIeXSvQFf1	Pop Smoke	Got It On Me	USUM72013361	74	brooklyn drill	0.00815	0.688	1.65e-05	0.19	88.834	0.195	0.647
2YpeDb67231RjR0MgVLzsG	Lil Nas X,Billy Ray Cyrus	Old Town Road - Remix	USSM11902498	77	lgbtq+ hip hop,pop	0.0533	0.878	0.0	0.102	136.041	0.639	0.619
1M6SuEJZJkZf2S419vIPkB	6ix9ine,Nicki Minaj,Murda Beatz	FEFE	QMEU31894160	70	emo rap,rap	0.088	0.931	0.0	0.412	125.978	0.375	0.387
1dnsojUNfvhiztcITLzruj	Pop Smoke,NAV	Wolves (with NAV)	USUM72003037	59	brooklyn drill	0.143	0.836	0.0	0.197	142.99	0.652	0.627
43PGPuHIlVOc04jrZVh9L6	Polo G	RAPSTAR	USSM12101640	76	chicago rap	0.41	0.789	0.0	0.242	81.039	0.437	0.536
6piAUJJQFD8oHDUr0b7l7q	24kGoldn	VALENTINO	USQX91803621	69	cali rap,pop rap	0.199	0.746	0.0	0.179	150.964	0.523	0.717
0PvFJmanyNQMseIFrU708S	Pop Smoke,Lil Baby,DaBaby	For The Night (feat. Lil Baby & DaBaby)	USUM72013355	79	brooklyn drill	0.114	0.823	0.0	0.2	125.971	0.347	0.586
0AH6WMe3OlAlUb5miXt2FQ	Rihanna	Only Girl (In The World)	USUM71023200	71	barbadian pop,dance pop,pop,pop rap,urban contemporary	0.129	0.789	1.07e-05	0.0432	125.906	0.611	0.716
6AzKhCHOms83jvNVLsz0Bt	Aya Nakamura,Maluma	Djadja (feat. Maluma) - Remix	FRZ042000444	66	basshall,francoton,pop urbaine	0.175	0.791	0.0	0.158	98.031	0.672	0.682
0PGRXJFSwpn5OAGFpEwiqK	Pop Smoke,Nigo	Remember (with Nigo)	USUM72202699	63	brooklyn drill	0.201	0.685	1.74e-05	0.187	134.95	0.167	0.744
28JoqEKYM54zHmouVCTUwX	Vado Más Ki Ás,Gang Mka	Controla	ES71G1947132	40	hip hop tuga,rap criolo	0.395	0.557	0.0	0.208	183.754	0.319	0.653
0Hf4aIJpsN4Os2f0y0VqWl	Pitbull,Christina Aguilera	Feel This Moment (feat. Christina Aguilera)	USRC11201328	76	dance pop,latin,miami hip hop,pop,pop rap	0.039	0.673	0.0	0.158	135.956	0.542	0.758
0HPD5WQqrq7wPWR7P7Dw1i	Kesha	TiK ToK	USRC10900433	79	dance pop,electropop,pop,post-teen pop	0.0991	0.755	0.0	0.142	120.028	0.714	0.837
1X3ltingEVNGRoJf1dvZfQ	Plutónio	Somos Iguais	PT9EV1900007	49	hip hop tuga	0.306	0.645	0.000291	0.174	91.704	0.574	0.699
0vbtURX4qv1l7besfwmnD8	Mike Posner,Seeb	I Took A Pill In Ibiza - Seeb Remix	USUM71509342	76	dance pop,edm,pop,pop rap,pop rock	0.0353	0.664	8.42e-06	0.111	101.969	0.71	0.714
0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	USUG11904206	88	canadian contemporary r&b,canadian pop,pop	0.00146	0.514	9.54e-05	0.0598	171.005	0.334	0.73
59dLtGBS26x7kc0rHbaPrq	B.o.B,Bruno Mars	Nothin' on You (feat. Bruno Mars)	USAT20904033	73	atl hip hop,dance pop,hip hop,pop,pop rap,pop rock,rap,southern hip hop	0.386	0.688	0.0	0.0493	103.993	0.743	0.853
0Q3sh5WiTcP0wrvfGbTu2R	Lhast,Slow J	2020 (feat. Slow J)	PT2HP2000003	34	hip hop tuga,rap angolano	0.631	0.689	0.0	0.161	123.673	0.413	0.566
11wQJiPeaQ01b09M7cifYn	Deejay Telio	Que Safoda	PTQN11401623	42	batida,funana,portuguese pop,rap angolano	0.0575	0.902	0.0145	0.157	128.025	0.926	0.733
7lQ8MOhq6IN2w8EYcFNSUk	Eminem	Without Me	USIR10211038	86	detroit hip hop,hip hop,rap	0.00286	0.908	0.0	0.0738	112.238	0.662	0.669
3C0nOe05EIt1390bVABLyN	Jennifer Lopez,Pitbull	On The Floor	USUM71104034	78	dance pop,pop,pop rap,urban contemporary	0.105	0.73	0.000478	0.0496	130.0	0.575	0.777
4kLLWz7srcuLKA7Et40PQR	Black Eyed Peas	I Gotta Feeling	USUM70965169	79	dance pop,pop,pop rap	0.0873	0.743	0.0	0.0265	127.96	0.61	0.766
2CEgGE6aESpnmtfiZwYlbV	Taio Cruz	Dynamite	GBUM71003721	79	dance pop,pop,pop rap	0.00379	0.751	0.0	0.0859	119.975	0.816	0.783
